Sprint,Sprint Dates,Task ID,Feature / Task,Category,Priority,Status,Owner,Est. Hours,Notes
Sprint 2 — POST DEMO,Apr 15 – Apr 28 2026,S2-07,Playwright E2E tests — stabilise login flow + re-run all parent tests,QA,LOW,Partial,Sai Mohan,2h,77 tests scaffolded; login flow had issues at session end
Sprint 2 — POST DEMO,Apr 15 – Apr 28 2026,S2-08,Deploy — Railway backend + Vercel frontend (production),DevOps,MED,To Do,Sai Mohan,2h,Image hosting (149MB) still unsolved
,,,,,,,,,
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-01,Teacher dashboard — class-wide progress view + individual student drilldown,Frontend + Backend,HIGH,To Do,Sai Mohan,6h,Completely different dashboard from student/parent
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-02,Parent dashboard — polish + real data wiring,Frontend,MED,Partial (~40%),Sai Mohan,3h,De-mocked; needs polish and complete real data wiring
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-03,NCERT Grade 4 & 5 content ingestion — textbook PDFs to Qdrant,Content / Backend,MED,Blocked (ZIP pending),Sai Mohan,4h,User to provide PDF ZIP files for Grade 4 and 5
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-04,IB PYP Grade 4 & 5 — complete partial content,Content / Backend,MED,Partial,Sai Mohan,3h,Grade 3 done; Grade 4 and 5 partial
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-05,Family voice recording — integrate younger daughter + elder daughter + Pratisha voices,Voice / TTS,MED,Blocked (recordings pending),Sai Mohan,3h,"Needs ElevenLabs Creator ($22/mo) for cloning. Recordings not yet done."
Sprint 3 — PILOT PREP,Apr 29 – May 12 2026,S3-06,Image quality upgrade — evaluate Gemini API (paid) for scene image generation,Content,LOW,To Do,Sai Mohan,2h,Currently using Hugging Face free models
,,,,,,,,,
Sprint 4 — PILOT LAUNCH,May 13 – May 26 2026,S4-01,Challenge system — school-run paid/free challenges + competitive leaderboard,Backend + Frontend,MED,To Do,Sai Mohan,5h,Only teachers/parents can enroll under-14 students
Sprint 4 — PILOT LAUNCH,May 13 – May 26 2026,S4-02,Mobile publishing — iOS/Android prep (React Native already supports),Mobile,LOW,To Do,TBD,–,Parents + teachers get mobile first; students use web/tablet
Sprint 4 — PILOT LAUNCH,May 13 – May 26 2026,S4-03,Cambridge curriculum — content ingestion + learning paths,Content,LOW,To Do,TBD,–,Later phase; IB PYP and NCERT first
Sprint 4 — PILOT LAUNCH,May 13 – May 26 2026,S4-04,Performance optimisation — CDN / caching for images and audio,DevOps,LOW,To Do,Sai Mohan,3h,After pilot school launch
Sprint 4 — PILOT LAUNCH,May 13 – May 26 2026,S4-05,Help Center screen,Frontend,LOW,To Do,Sai Mohan,2h,Low-hanging fruit; nice to have for pilot
